Company,Type
SBICARD.NS,MidCap
CONCOR.NS,MidCap
MOTILALOFS.NS,MidCap
COFORGE.NS,MidCap
BHARATFORG.NS,MidCap
HINDPETRO.NS,MidCap
NIACL.NS,MidCap
KEI.NS,MidCap
SYNGENE.NS,MidCap
PERSISTENT.NS,MidCap
BDL.NS,MidCap
GVT&D.NS,MidCap
LLOYDSME.NS,MidCap
INDUSTOWER.NS,MidCap
JUBLFOOD.NS,MidCap
OFSS.NS,MidCap
POLYCAB.NS,MidCap
ABFRL.NS,MidCap
APOLLOTYRE.NS,MidCap
STARHEALTH.NS,MidCap
IDFCFIRSTB.NS,MidCap
COCHINSHIP.NS,MidCap
FORTIS.NS,MidCap
TIINDIA.NS,MidCap
NAM-INDIA.NS,MidCap
GODREJIND.NS,MidCap
OIL.NS,MidCap
MRPL.NS,MidCap
TATACOMM.NS,MidCap
TATAELXSI.NS,MidCap
MAXHEALTH.NS,MidCap
POLICYBZR.NS,MidCap
IDEA.NS,MidCap
SUNDARMFIN.NS,MidCap
SOLARINDS.NS,MidCap
WAAREEENER.NS,MidCap
MAZDOCK.NS,MidCap
KPRMILL.NS,MidCap
BSE.NS,MidCap
UNOMINDA.NS,MidCap
POWERINDIA.NS,MidCap
APARINDS.NS,MidCap
PREMIERENE.NS,MidCap
IREDA.NS,MidCap
NETWEB.NS,SmallCap
JPPOWER.NS,SmallCap
ANANDRATHI.NS,SmallCap
KIRLOSENG.NS,SmallCap
WOCKPHARMA.NS,SmallCap
GILLETTE.NS,SmallCap
RAMCOCEM.NS,SmallCap
SARDAEN.NS,SmallCap
AKUMS.NS,SmallCap
ACMESOLAR.NS,SmallCap
RADICO.NS,SmallCap
APTUS.NS,SmallCap
NH.NS,SmallCap
EIDPARRY.NS,SmallCap
CCL.NS,SmallCap
RAYMOND.NS,SmallCap
EMCURE.NS,SmallCap
RBLBANK.NS,SmallCap
COHANCE.NS,SmallCap
NEULANDLAB.NS,SmallCap
HOMEFIRST.NS,SmallCap
GODREJAGRO.NS,SmallCap
ANANTRAJ.NS,SmallCap
TBOTEK.NS,SmallCap
PEL.NS,SmallCap
GPPL.NS,SmallCap
JYOTHYLAB.NS,SmallCap
WHIRLPOOL.NS,SmallCap
IKS.NS,SmallCap
RPOWER.NS,SmallCap
PFIZER.NS,SmallCap
ASTRAZEN.NS,SmallCap
ASAHIINDIA.NS,SmallCap
SYRMA.NS,SmallCap
HEG.NS,SmallCap
HAPPSTMNDS.NS,SmallCap
SCHNEIDER.NS,SmallCap
RAILTEL.NS,SmallCap
GPIL.NS,SmallCap
ECLERX.NS,SmallCap
BALRAMCHIN.NS,SmallCap
ASTERDM.NS,SmallCap
FIVESTAR.NS,SmallCap
RAINBOW.NS,SmallCap
MGL.NS,SmallCap
INTELLECT.NS,SmallCap
SUMICHEM.NS,SmallCap
GRAPHITE.NS,SmallCap
ABREL.NS,SmallCap
USHAMART.NS,SmallCap
VGUARD.NS,SmallCap
REDINGTON.NS,SmallCap
GODIGIT.NS,SmallCap
INDIAMART.NS,SmallCap
FINPIPE.NS,SmallCap
GSPL.NS,SmallCap
VIJAYA.NS,SmallCap
APLLTD.NS,SmallCap
LALPATHLAB.NS,SmallCap
CANFINHOME.NS,SmallCap
POLYMED.NS,SmallCap
ENGINERSIN.NS,SmallCap
DEEPAKFERT.NS,SmallCap
ABSLAMC.NS,SmallCap
AFFLE.NS,SmallCap
RAYMONDLSL.NS,SmallCap
RENUKA.NS,SmallCap
KIMS.NS,SmallCap
NSLNISP.NS,SmallCap
NUVAMA.NS,SmallCap
NAVINFLUOR.NS,SmallCap
LAURUSLABS.NS,SmallCap
ARE&M.NS,SmallCap
SAILIFE.NS,SmallCap
CENTURYPLY.NS,SmallCap
DCMSHRIRAM.NS,SmallCap
BIKAJI.NS,SmallCap
ELECON.NS,SmallCap
JBCHEPHARM.NS,SmallCap
IIFL.NS,SmallCap
HBLENGINE.NS,SmallCap
ALIVUS.NS,SmallCap
UTIAMC.NS,SmallCap
TANLA.NS,SmallCap
GESHIP.NS,SmallCap
TIMKEN.NS,SmallCap
RRKABEL.NS,SmallCap
INOXINDIA.NS,SmallCap
SOBHA.NS,SmallCap
JUBLPHARMA.NS,SmallCap
SONATSOFTW.NS,SmallCap
CHOLAHLDNG.NS,SmallCap
AEGISLOG.NS,SmallCap
FSL.NS,SmallCap
SBFC.NS,SmallCap
CASTROLIND.NS,SmallCap
PRAJIND.NS,SmallCap
AADHARHFC.NS,SmallCap
CLEAN.NS,SmallCap
KANSAINER.NS,SmallCap
CREDITACC.NS,SmallCap
JSWHL.NS,SmallCap
CRAFTSMAN.NS,SmallCap
AARTIIND.NS,SmallCap
TRIVENI.NS,SmallCap
MANYAVAR.NS,SmallCap
BLS.NS,SmallCap
GRANULES.NS,SmallCap
TEJASNET.NS,SmallCap
MMTC.NS,SmallCap
KARURVYSYA.NS,SmallCap
PPLPHARMA.NS,SmallCap
JBMA.NS,SmallCap
LTFOODS.NS,SmallCap
INDIACEM.NS,SmallCap
BLUEDART.NS,SmallCap
IEX.NS,SmallCap
ATUL.NS,SmallCap
DOMS.NS,SmallCap
HFCL.NS,SmallCap
SCI.NS,SmallCap
CYIENT.NS,SmallCap
KNRCON.NS,SmallCap
NAVA.NS,SmallCap
JWL.NS,SmallCap
